dataflow,country,indicator,sex_sex,year,value,unit_multiplier_unit_multiplier,unit_measure_unit_of_measure,obs_status_observation_status,obs_conf_observation_confidentaility,lower_bound_lower_bound,upper_bound_upper_bound,wgtd_sampl_size_weighted_sample_size,obs_footnote_observation_footnote,series_footnote_series_footnote,data_source_data_source,source_link_citation_of_or_link_to_the_data_source,custodian_custodian,time_period_method_time_period_activity_related_to_when_the_data_are_collected,ref_period_reference_period,coverage_time_the_period_of_time_for_which_data_are_provided,age_current_age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,54,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,54.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,55.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,55.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,56.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,46.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,48.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,49.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,50.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,51.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,NA,NA,Population weighted averages calculated by UNICEF using WPP2024 weights,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
