dataflow,country,indicator,sex_sex,year,value,unit_multiplier_unit_multiplier,unit_measure_unit_of_measure,obs_status_observation_status,obs_conf_observation_confidentaility,lower_bound_lower_bound,upper_bound_upper_bound,wgtd_sampl_size_weighted_sample_size,obs_footnote_observation_footnote,series_footnote_series_footnote,data_source_data_source,source_link_citation_of_or_link_to_the_data_source,custodian_custodian,time_period_method_time_period_activity_related_to_when_the_data_are_collected,ref_period_reference_period,coverage_time_the_period_of_time_for_which_data_are_provided,age_current_age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2018,59.8,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2019,62,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2020,64,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2021,65.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  entral frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2022,67.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2018,65.8,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2019,68.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2020,71.8,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2021,74.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,  astern frica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,_T: Total,2022,76.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,NA,NA,NA,Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,Joint UNICEF-WHO Database on Skilled Birth Attendance 2024,NA,NA,EOF: End of fieldwork,NA,2000-2023,Y15T49: 15 to 49 years old
