iso3code,country,status
AFG,fghanistan,Acceleration Needed
AGO,ngola,Acceleration Needed
AIA,nguilla,Achieved
ALB,lbania,Achieved
AND,ndorra,Achieved
ARE,nited rab mirates,Achieved
ARG,rgentina,Achieved
ARM,rmenia,Achieved
ATG,ntigua and arbuda,Achieved
AUS,ustralia,Achieved
AUT,ustria,Achieved
AZE,zerbaijan,Achieved
BEN,enin,Acceleration Needed
BEL,elgium,Achieved
BWA,otswana,Acceleration Needed
BFA,urkina aso,Acceleration Needed
BGD,angladesh,On Track
BGR,ulgaria,Achieved
BHR,ahrain,Achieved
BHS,ahamas,Achieved
BIH,osnia and erzegovina,Achieved
BLR,elarus,Achieved
BLZ,elize,Achieved
BOL,olivia lurinational tate of,Achieved
BRA,razil,Achieved
BRB,arbados,Achieved
BRN,runei arussalam,Achieved
BTN,hutan,Achieved
BDI,urundi,Acceleration Needed
CMR,ameroon,Acceleration Needed
CAN,anada,Achieved
CHE,witzerland,Achieved
CHL,hile,Achieved
CHN,hina,Achieved
CAF,entral frican epublic,Acceleration Needed
TCD,had,Acceleration Needed
COM,omoros,Acceleration Needed
COG,ongo,Acceleration Needed
COK,ook slands,Achieved
COL,olombia,Achieved
CIV,te dvoire,Acceleration Needed
CPV,abo erde,Achieved
CRI,osta ica,Achieved
CUB,uba,Achieved
CYP,yprus,Achieved
CZE,zechia,Achieved
DEU,ermany,Achieved
COD,emocratic epublic of the ongo,Acceleration Needed
DMA,ominica,Acceleration Needed
DNK,enmark,Achieved
DOM,ominican epublic,Acceleration Needed
DZA,lgeria,Achieved
ECU,cuador,Achieved
EGY,gypt,Achieved
DJI,jibouti,Acceleration Needed
ESP,pain,Achieved
EST,stonia,Achieved
ETH,thiopia,Acceleration Needed
FIN,inland,Achieved
GNQ,quatorial uinea,Acceleration Needed
FRA,rance,Achieved
FSM,icronesia ederated tates of,Achieved
ERI,ritrea,Acceleration Needed
GBR,nited ingdom,Achieved
GEO,eorgia,Achieved
SWZ,swatini,Acceleration Needed
FJI,iji,Acceleration Needed
GAB,abon,Acceleration Needed
GMB,ambia,Acceleration Needed
GHA,hana,Acceleration Needed
GRC,reece,Achieved
GRD,renada,Achieved
GTM,uatemala,Achieved
GUY,uyana,On Track
HND,onduras,Achieved
HRV,roatia,Achieved
GIN,uinea,Acceleration Needed
HUN,ungary,Achieved
IDN,ndonesia,Achieved
IND,ndia,On Track
IRL,reland,Achieved
IRN,ran slamic epublic of,Achieved
IRQ,raq,Achieved
ISL,celand,Achieved
ISR,srael,Achieved
ITA,taly,Achieved
JAM,amaica,Achieved
JOR,ordan,Achieved
JPN,apan,Achieved
KAZ,azakhstan,Achieved
GNB,uineaissau,Acceleration Needed
KGZ,yrgyzstan,Achieved
KHM,ambodia,Achieved
HTI,aiti,Acceleration Needed
KNA,aint itts and evis,Achieved
KOR,epublic of orea,Achieved
KWT,uwait,Achieved
KEN,enya,Acceleration Needed
LBN,ebanon,Achieved
KIR,iribati,Acceleration Needed
LBY,ibya,Achieved
LCA,aint ucia,Achieved
LKA,ri anka,Achieved
LAO,ao eoples emocratic epublic,Acceleration Needed
LTU,ithuania,Achieved
LUX,uxembourg,Achieved
LVA,atvia,Achieved
MAR,orocco,Achieved
MCO,onaco,Achieved
MDA,epublic of oldova,Achieved
LSO,esotho,Acceleration Needed
MDV,aldives,Achieved
MEX,exico,Achieved
MHL,arshall slands,On Track
MKD,orth acedonia,Achieved
LBR,iberia,Acceleration Needed
MLT,alta,Achieved
MDG,adagascar,Acceleration Needed
MNE,ontenegro,Achieved
MNG,ongolia,Achieved
MLI,ali,Acceleration Needed
MRT,auritania,Acceleration Needed
MSR,ontserrat,Achieved
MUS,auritius,Achieved
MWI,alawi,Acceleration Needed
MYS,alaysia,Achieved
MOZ,ozambique,Acceleration Needed
MMR,yanmar,Acceleration Needed
NAM,amibia,Acceleration Needed
NIC,icaragua,Achieved
NIU,iue,Achieved
NLD,etherlands ingdom of the,Achieved
NOR,orway,Achieved
NPL,epal,On Track
NRU,auru,On Track
NZL,ew ealand,Achieved
OMN,man,Achieved
NER,iger,Acceleration Needed
PAN,anama,Achieved
PER,eru,Achieved
PHL,hilippines,Acceleration Needed
PLW,alau,Achieved
NGA,igeria,Acceleration Needed
POL,oland,Achieved
PRK,emocratic eoples epublic of orea,Achieved
PRT,ortugal,Achieved
PRY,araguay,Achieved
PSE,tate of alestine,Achieved
QAT,atar,Achieved
RKS,osovo  ,Achieved
ROU,omania,Achieved
RUS,ussian ederation,Achieved
PAK,akistan,Acceleration Needed
SAU,audi rabia,Achieved
PNG,apua ew uinea,Acceleration Needed
SEN,enegal,Acceleration Needed
SGP,ingapore,Achieved
SLB,olomon slands,Achieved
RWA,wanda,Acceleration Needed
SLV,l alvador,Achieved
SMR,an arino,Achieved
SLE,ierra eone,Acceleration Needed
SRB,erbia,Achieved
SOM,omalia,Acceleration Needed
STP,ao ome and rincipe,Achieved
SUR,uriname,Achieved
SVK,lovakia,Achieved
SVN,lovenia,Achieved
SWE,weden,Achieved
ZAF,outh frica,Acceleration Needed
SYC,eychelles,Achieved
SYR,yrian rab epublic,Achieved
TCA,urks and aicos slands,Achieved
SSD,outh udan,Acceleration Needed
SDN,udan,Acceleration Needed
THA,hailand,Achieved
TJK,ajikistan,On Track
TLS,imoreste,Acceleration Needed
TGO,ogo,Acceleration Needed
TON,onga,Achieved
TTO,rinidad and obago,Achieved
TUN,unisia,Achieved
TUR,rkiye,Achieved
TUV,uvalu,Achieved
TZA,nited epublic of anzania,Acceleration Needed
TKM,urkmenistan,Acceleration Needed
UKR,kraine,Achieved
URY,ruguay,Achieved
USA,nited tates,Achieved
UZB,zbekistan,Achieved
VCT,aint incent and the renadines,Achieved
VEN,enezuela olivarian epublic of,Achieved
VGB,ritish irgin slands,Achieved
VNM,iet am,Achieved
VUT,anuatu,Achieved
WSM,amoa,Achieved
UGA,ganda,Acceleration Needed
YEM,emen,Acceleration Needed
ZMB,ambia,Acceleration Needed
ZWE,imbabwe,Acceleration Needed
